💎秒播频道💎,#genre#

CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV1,http://8.138.7.223/tv/migu.php?id=cctv1
CCTV1,http://39.137.75.234/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=no
CCTV1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8
CCTV1,http://8.138.7.223/tv/ptbtv.php?id=27
CCTV1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,https://cdn5.132.us.kg/live/cctv1/stream.m3u8
CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
CCTV2,http://8.138.7.223/tv/migu.php?id=cctv2
CCTV2,https://smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV2,http://112.46.105.20:8009/hls/502/index.m3u8
CCTV2,http://183.222.242.31:8088/hls/2/index.m3u8
CCTV2,http://www.cdnstv.com:6398/hls/2/index.m3u8
CCTV3,http://8.138.7.223/tv/migu.php?id=cctv3
CCTV3,https://smart.pendy.dpdns.org/Smart.php?id=cctv3
CCTV3,http://112.46.105.20:8009/hls/3/index.m3u8
CCTV3,http://183.222.242.31:8088/hls/3/index.m3u8
CCTV3,http://www.cdnstv.com:6398/hls/3/index.m3u8
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4a
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4o
CCTV4,http://39.137.75.234/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no
CCTV4,https://smart.pendy.dpdns.org/Smart.php?id=cctv4
CCTV4,http://112.46.105.20:8009/hls/4/index.m3u8
CCTV4,http://183.222.242.31:8088/hls/4/index.m3u8
CCTV4,http://www.cdnstv.com:6398/hls/4/index.m3u8
CCTV5,http://8.138.7.223/tv/migu.php?id=cctv5
CCTV5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5
CCTV5,http://112.46.105.20:8009/hls/503/index.m3u8
CCTV5,http://183.222.242.31:8088/hls/5/index.m3u8
CCTV5,http://www.cdnstv.com:6398/hls/5/index.m3u8
CCTV5+,http://8.138.7.223/tv/migu.php?id=cctv5p
CCTV5+,http://39.137.75.234/000000001000/reallive-cctv5plus/index.m3u8?channel-id=ystenlive&Contentid=reallive-cctv5plus&livemode=1&stbId=no
CCTV5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV5+,http://183.222.242.31:8088/hls/16/index.m3u8
CCTV6,http://183.222.242.31:8088/hls/6/index.m3u8
CCTV6,http://www.cdnstv.com:6398/hls/6/index.m3u8
CCTV7,http://8.138.7.223/tv/migu.php?id=cctv7
CCTV7,http://39.137.75.234/000000001000/1000000005000265007/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=no
